Species	ID	Included_in_orhtofinder	Class	Group	Order	Type
Anadara_(Scapharca)_broughtonii	Sbro	yes	Bivalvia	Pteriomorpha	Arcida	Genome
Aplysia_californica	Acal	no	Gastropoda	Heterobranchia	Aplysiida	Genome
Argopecten_irradians_concentricus	Airc	yes	Bivalvia	Pteriomorpha	Pectinida	Genome
Argopecten_purpuratus	Apur	no	Bivalvia	Pteriomorpha	Pectinida	Genome
Atrina_pectinata	Apec	yes	Bivalvia	Pteriomorpha	Ostreida	Transcriptome
Biomphalaria_glabrata	Bgla	no	Gastropoda	Heterobranchia	N/A	Genome
Calyptogena_(Archivesica)_marissinica	Amar	yes	Bivalvia	Imparidentia	Venerida	Genome
Corbicula_fluminea	Cflu	yes	Bivalvia	Imparidentia	Venerida	Transcriptome
Crassostrea_virginica	Cvir	yes	Bivalvia	Pteriomorpha	Ostreida	Genome
Cristaria_plicata	Cpli	yes	Bivalvia	Palaeoheterodonta	Unionida	Transcriptome
Cyclina_sinensis	Csin	yes	Bivalvia	Imparidentia	Venerida	Genome
Dreissena_polymorpha	Dpol	yes	Bivalvia	Imparidentia	Myida	Genome
Gigantopelta_aegis	Gaeg	no	Gastropoda	Neomphaliones	Neomphalida_(?)	Genome
Haliotis_rufescens	Hruf	no	Gastropoda	Vetigastropoda	Lepetellida	Genome
Hyriopsis_bialata_(Unio_delphinus)	Hbia	yes	Bivalvia	Palaeoheterodonta	Unionida	Genome
Loripes_orbiculatus	Lorb	yes	Bivalvia	Imparidentia	Lucinida	Transcriptome
Mactra_chinensis	Mchi	yes	Bivalvia	Imparidentia	Venerida	Transcriptome
Magallana_(Crassostrea)_angulata	Cang	yes	Bivalvia	Pteriomorpha	Ostreida	Genome
Magallana_(Crassostrea)_ariakensis	Cari	no	Bivalvia	Pteriomorpha	Ostreida	Genome
Magallana_(Crassostrea)_gigas	Cgig	no	Bivalvia	Pteriomorpha	Ostreida	Genome
Margaritifera_margaritifera	Mmar	yes	Bivalvia	Palaeoheterodonta	Unionida	Genome
Megalonaias_nervosa	Mner	yes	Bivalvia	Palaeoheterodonta	Unionida	Genome
Mercenaria_mercenaria	Mmer	yes	Bivalvia	Imparidentia	Venerida	Genome
Mizuhopecten_(Patinopecten)_yessoensis	Pyes	yes	Bivalvia	Pteriomorpha	Pectinida	Genome
Modiolus_modiolus	Mmod	yes	Bivalvia	Pteriomorpha	Mytilida	Transcriptome
Modiolus_philippinarum	Mphi	no	Bivalvia	Pteriomorpha	Mytilida	Genome
Mya_arenaria	Mare	yes	Bivalvia	Imparidentia	Myida	Genome
Mytilus_californianus	Mcal	yes	Bivalvia	Pteriomorpha	Mytilida	Genome
Mytilus_edulis	Medu	no	Bivalvia	Pteriomorpha	Mytilida	Genome
Mytilus_galloprovincialis	Mgal	no	Bivalvia	Pteriomorpha	Mytilida	Genome
Mytilus_unguiculatus_(coruscus)	Mcor	no	Bivalvia	Pteriomorpha	Mytilida	Genome
Octopus_bimaculoides	Obim	no	Cephalopoda	Coleoidea	Octopoda	Genome
Octopus_sinensis	Osin	no	Cephalopoda	Coleoidea	Octopoda	Genome
Ostrea_edulis	Oedu	yes	Bivalvia	Pteriomorpha	Ostreida	Genome
Panopea_generosa	Pgen	yes	Bivalvia	Imparidentia	Adapedonta	Transcriptome
Pecten_maximus	Pmax	yes	Bivalvia	Pteriomorpha	Pectinida	Genome
Perna_viridis	Pvir	yes	Bivalvia	Pteriomorpha	Mytilida	Genome
Perumytilus_purpuratus	Ppur	yes	Bivalvia	Pteriomorpha	Mytilida	Transcriptome
Phreagena_okutanii	Poku	yes	Bivalvia	Imparidentia	Venerida	Transcriptome
Pinctada_margaritifera	Pmar	yes	Bivalvia	Pteriomorpha	Ostreida	Transcriptome
Pisidium_coreanum	Pcor	yes	Bivalvia	Imparidentia	SphaeriidaÂ 	Transcriptome
Pomacea_canaliculata	Pcan	no	Gastropoda	Caenogastropoda	Architaenioglossa	Genome
Potamilus_streckersoni	Pstr	yes	Bivalvia	Palaeoheterodonta	Unionida	Genome
Ruditapes_decussatus	Rdec	yes	Bivalvia	Imparidentia	Venerida	Transcriptome
Ruditapes_philippinarum	Rphi	yes	Bivalvia	Imparidentia	Venerida	Genome
Saccostrea_glomerata	Sglo	yes	Bivalvia	Pteriomorpha	Ostreida	Genome
Sinonovacula_constricta	Scon	yes	Bivalvia	Imparidentia	Adapedonta	Genome
Solen_grandis	Sgra	yes	Bivalvia	Imparidentia	Adapedonta	Transcriptome
Tegillarca_granosa	Tgra	yes	Bivalvia	Pteriomorpha	Arcida	Genome
Tridacna_squamosa	Tsqu	yes	Bivalvia	Imparidentia	Cardiida	Transcriptome
